id,date,amount,currency,description,ref_id,account_id,raw_source
BNK-1001,2026-02-01,9308.15,USD,SFDC CRM CLOUD SUB - Invoice 10000,REF-EX-10000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1002,2026-02-08,1873.29,USD,HUBSPOT INBOUND MKTG - Invoice 10001,REF-EX-10001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1003,2026-02-22,9297.25,USD,SFDC CRM CLOUD SUB - Invoice 10002,REF-EX-10002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1004,2026-02-03,7442.58,USD,SEGMENT CDP DATA PIPELN - Invoice 10003,REF-EX-10003,ACC-BANK-CHASE-01,Chase Commercial
BNK-1005,2026-02-01,1307.14,USD,GOOGLE *GSUITE CALENDAR - Invoice 10004,REF-EX-10004,ACC-BANK-CHASE-01,Chase Commercial
BNK-1006,2026-02-17,7584.93,USD,HUBSPOT INBOUND MKTG - Invoice 10005,REF-EX-10005,ACC-BANK-CHASE-01,Chase Commercial
BNK-1007,2026-02-07,8992.84,USD,SEGMENT CDP DATA PIPELN - Invoice 10006,REF-EX-10006,ACC-BANK-CHASE-01,Chase Commercial
BNK-1008,2026-02-14,2872.44,USD,SEGMENT CDP DATA PIPELN - Invoice 10007,REF-EX-10007,ACC-BANK-CHASE-01,Chase Commercial
BNK-1009,2026-02-09,10146.47,USD,MONGODB CLOUD DATABASE - Invoice 10008,REF-EX-10008,ACC-BANK-CHASE-01,Chase Commercial
BNK-1010,2026-02-25,10101.87,USD,AMZN AWS US-EAST CLOUD - Invoice 10009,REF-EX-10009,ACC-BANK-CHASE-01,Chase Commercial
BNK-1011,2026-02-11,3581.71,USD,WEWORK SHARED DESK NYC - Invoice 10010,REF-EX-10010,ACC-BANK-CHASE-01,Chase Commercial
BNK-1012,2026-02-25,4306.94,USD,ZOOM.US ENTERPRISE VIDEO - Invoice 10011,REF-EX-10011,ACC-BANK-CHASE-01,Chase Commercial
BNK-1013,2026-02-13,1344.45,USD,SLK*SLACK DIRECT COMM - Invoice 10012,REF-EX-10012,ACC-BANK-CHASE-01,Chase Commercial
BNK-1014,2026-02-20,3416.83,USD,GITHUB INC DEV REPO - Invoice 10013,REF-EX-10013,ACC-BANK-CHASE-01,Chase Commercial
BNK-1015,2026-02-24,5823.9,USD,GOOGLE *GSUITE CALENDAR - Invoice 10014,REF-EX-10014,ACC-BANK-CHASE-01,Chase Commercial
BNK-1016,2026-02-13,1123.18,USD,SFDC CRM CLOUD SUB - Invoice 10015,REF-EX-10015,ACC-BANK-CHASE-01,Chase Commercial
BNK-1017,2026-02-21,7788.72,USD,DATADOG INC SYS METRICS - Invoice 10016,REF-EX-10016,ACC-BANK-CHASE-01,Chase Commercial
BNK-1018,2026-02-19,2524.76,USD,GITHUB INC DEV REPO - Invoice 10017,REF-EX-10017,ACC-BANK-CHASE-01,Chase Commercial
BNK-1019,2026-02-02,8316.6,USD,SLK*SLACK DIRECT COMM - Invoice 10018,REF-EX-10018,ACC-BANK-CHASE-01,Chase Commercial
BNK-1020,2026-02-03,10713.17,USD,DATADOG INC SYS METRICS - Invoice 10019,REF-EX-10019,ACC-BANK-CHASE-01,Chase Commercial
BNK-1021,2026-02-13,3582.97,USD,SFDC CRM CLOUD SUB - Invoice 10020,REF-EX-10020,ACC-BANK-CHASE-01,Chase Commercial
BNK-1022,2026-02-06,4721.73,USD,GITHUB INC DEV REPO - Invoice 10021,REF-EX-10021,ACC-BANK-CHASE-01,Chase Commercial
BNK-1023,2026-02-22,3447.18,USD,ZOOM.US ENTERPRISE VIDEO - Invoice 10022,REF-EX-10022,ACC-BANK-CHASE-01,Chase Commercial
BNK-1024,2026-02-20,7991.98,USD,SLK*SLACK DIRECT COMM - Invoice 10023,REF-EX-10023,ACC-BANK-CHASE-01,Chase Commercial
BNK-1025,2026-02-24,3173.41,USD,SEGMENT CDP DATA PIPELN - Invoice 10024,REF-EX-10024,ACC-BANK-CHASE-01,Chase Commercial
BNK-1026,2026-02-13,3483.86,USD,DELL DIRECT HARDWARE EQ - Invoice 10025,REF-EX-10025,ACC-BANK-CHASE-01,Chase Commercial
BNK-1027,2026-02-08,8604.99,USD,SEGMENT CDP DATA PIPELN - Invoice 10026,REF-EX-10026,ACC-BANK-CHASE-01,Chase Commercial
BNK-1028,2026-02-08,10299.26,USD,GOOGLE *GSUITE CALENDAR - Invoice 10027,REF-EX-10027,ACC-BANK-CHASE-01,Chase Commercial
BNK-1029,2026-02-13,3456.6,USD,FIGMA ENTERPRISE LICENSE - Invoice 10028,REF-EX-10028,ACC-BANK-CHASE-01,Chase Commercial
BNK-1030,2026-02-19,10973.14,USD,ZOOM.US ENTERPRISE VIDEO - Invoice 10029,REF-EX-10029,ACC-BANK-CHASE-01,Chase Commercial
BNK-1031,2026-02-11,4892.93,USD,Figma Design Inc ACH CLEARING TXN 20000,ACH-CHASE-20000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1032,2026-02-08,1584.6,USD,Dell Computers Corp ACH CLEARING TXN 20001,ACH-CHASE-20001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1033,2026-02-21,7172.53,USD,Segment.io Inc ACH CLEARING TXN 20002,ACH-CHASE-20002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1034,2026-02-22,3630.37,USD,WeWork Management ACH CLEARING TXN 20003,ACH-CHASE-20003,ACC-BANK-CHASE-01,Chase Commercial
BNK-1035,2026-02-20,1136.37,USD,Stripe Payouts ACH CLEARING TXN 20004,ACH-CHASE-20004,ACC-BANK-CHASE-01,Chase Commercial
BNK-1036,2026-02-06,6072.5,USD,Google Workspace ACH CLEARING TXN 20005,ACH-CHASE-20005,ACC-BANK-CHASE-01,Chase Commercial
BNK-1037,2026-02-22,3839.86,USD,WeWork Management ACH CLEARING TXN 20006,ACH-CHASE-20006,ACC-BANK-CHASE-01,Chase Commercial
BNK-1038,2026-02-19,2613.01,USD,PagerDuty Inc ACH CLEARING TXN 20007,ACH-CHASE-20007,ACC-BANK-CHASE-01,Chase Commercial
BNK-1039,2026-02-05,6930.64,USD,Segment.io Inc ACH CLEARING TXN 20008,ACH-CHASE-20008,ACC-BANK-CHASE-01,Chase Commercial
BNK-1040,2026-02-13,3429.61,USD,Segment.io Inc ACH CLEARING TXN 20009,ACH-CHASE-20009,ACC-BANK-CHASE-01,Chase Commercial
BNK-1041,2026-02-16,4474.26,USD,Datadog Monitoring ACH CLEARING TXN 20010,ACH-CHASE-20010,ACC-BANK-CHASE-01,Chase Commercial
BNK-1042,2026-02-19,4970.67,USD,Twilio Inc ACH CLEARING TXN 20011,ACH-CHASE-20011,ACC-BANK-CHASE-01,Chase Commercial
BNK-1043,2026-02-14,4970.5,USD,Salesforce.com Inc ACH CLEARING TXN 20012,ACH-CHASE-20012,ACC-BANK-CHASE-01,Chase Commercial
BNK-1044,2026-02-08,7315.1,USD,Zoom Video Comm ACH CLEARING TXN 20013,ACH-CHASE-20013,ACC-BANK-CHASE-01,Chase Commercial
BNK-1045,2026-02-19,5810.29,USD,Segment.io Inc ACH CLEARING TXN 20014,ACH-CHASE-20014,ACC-BANK-CHASE-01,Chase Commercial
BNK-1046,2026-02-03,857.16,USD,SNOWFLAKE DATA WAREHOUSE WIRE NET OF $1.5 FEE,REF-FEE-30000,ACC-BANK-CHASE-01,Chase Commercial
BNK-1047,2026-02-10,634.99,USD,DATADOG INC SYS METRICS WIRE NET OF $2.5 FEE,REF-FEE-30001,ACC-BANK-CHASE-01,Chase Commercial
BNK-1048,2026-02-05,3400.07,USD,SLK*SLACK DIRECT COMM WIRE NET OF $0.75 FEE,REF-FEE-30002,ACC-BANK-CHASE-01,Chase Commercial
BNK-1049,2026-02-07,924.41,USD,SEGMENT CDP DATA PIPELN WIRE NET OF $2.0 FEE,REF-FEE-30003,ACC-BANK-CHASE-01,Chase Commercial
