id,date,amount,currency,description,ref_id,account_id,entity,gl_account
LDG-5001,2026-02-01,9308.15,USD,Salesforce.com Inc - PO 10000,REF-EX-10000,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5002,2026-02-08,1873.29,USD,HubSpot Inc - PO 10001,REF-EX-10001,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5003,2026-02-22,9297.25,USD,Salesforce.com Inc - PO 10002,REF-EX-10002,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5004,2026-02-03,7442.58,USD,Segment.io Inc - PO 10003,REF-EX-10003,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5005,2026-02-01,1307.14,USD,Google Workspace - PO 10004,REF-EX-10004,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5006,2026-02-17,7584.93,USD,HubSpot Inc - PO 10005,REF-EX-10005,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5007,2026-02-07,8992.84,USD,Segment.io Inc - PO 10006,REF-EX-10006,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5008,2026-02-14,2872.44,USD,Segment.io Inc - PO 10007,REF-EX-10007,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5009,2026-02-09,10146.47,USD,MongoDB Atlas - PO 10008,REF-EX-10008,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5010,2026-02-25,10101.87,USD,Amazon Web Services - PO 10009,REF-EX-10009,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5011,2026-02-11,3581.71,USD,WeWork Management - PO 10010,REF-EX-10010,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5012,2026-02-25,4306.94,USD,Zoom Video Comm - PO 10011,REF-EX-10011,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5013,2026-02-13,1344.45,USD,Slack Technologies - PO 10012,REF-EX-10012,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5014,2026-02-20,3416.83,USD,GitHub Enterprise - PO 10013,REF-EX-10013,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5015,2026-02-24,5823.9,USD,Google Workspace - PO 10014,REF-EX-10014,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5016,2026-02-13,1123.18,USD,Salesforce.com Inc - PO 10015,REF-EX-10015,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5017,2026-02-21,7788.72,USD,Datadog Monitoring - PO 10016,REF-EX-10016,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5018,2026-02-19,2524.76,USD,GitHub Enterprise - PO 10017,REF-EX-10017,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5019,2026-02-02,8316.6,USD,Slack Technologies - PO 10018,REF-EX-10018,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5020,2026-02-03,10713.17,USD,Datadog Monitoring - PO 10019,REF-EX-10019,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5021,2026-02-13,3582.97,USD,Salesforce.com Inc - PO 10020,REF-EX-10020,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5022,2026-02-06,4721.73,USD,GitHub Enterprise - PO 10021,REF-EX-10021,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5023,2026-02-22,3447.18,USD,Zoom Video Comm - PO 10022,REF-EX-10022,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
LDG-5024,2026-02-20,7991.98,USD,Slack Technologies - PO 10023,REF-EX-10023,ACC-GL-1010,RazorPay Global Inc,1010-Operating-Cash
